category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Racing Games,"28 Dec, 2023",Fragile Software,Barely Racing,win,None,Positive,16,"Combat,Racing,Top-Down,Multiplayer,Racing,4,Player,Local,Vehicular,Combat,Driving,PvE,PvP,Automobile,Sim,Shooter,3D,Isometric,Post-apocalyptic,Action,Casual,Combat,Singleplayer,Local,Multiplayer,Arcade"
Racing Games,"20 Mar, 2023",Enoops,Turbo Racing,win,None,Positive,14,"Racing,Arcade,3D,Cute,Atmospheric,Survival,PvE,Indie,Singleplayer"
Strategy Games,"23 Sep, 2024",KANNADE,Future Simulation World,win,None,Mixed,20,"Simulation,Strategy,Indie"
Simulation Games,"30 Nov, 2016",VIS-Games,Roadworks - The Simulation,win,"1080,80 руб.",Mixed,23,Simulation
Simulation Games,"10 Nov, 2021",FishSoft LLC,Russian Fishing 4,win,None,Mixed,72337,"Fishing,Multiplayer,Free,to,Play,Simulation,Nature,Realistic,Relaxing,First-Person,Crafting,Immersive,Sim,Sports,Atmospheric,Singleplayer,Open,World,Survival,Massively,Multiplayer,Casual,Adventure,RPG,Family,Friendly"
Simulation Games,"21 Nov, 2016",Xemory LLC,Xemo® : Robot Simulation,"win,mac",None,Mixed,69,"Simulation,Early,Access"
Education,"24 Feb, 2021",SilverSun Pictures,Refrigerant Recovery Simulation,win,None,Positive,25,"Education,Simulation,Realistic,3D,Immersive,Sim,Building,Physics,Tutorial,First-Person,Singleplayer,Point,&,Click"
Racing Games/Assetto Corsa Official Franchise,"19 Dec, 2014",Kunos Simulazioni,Assetto Corsa,win,177 руб.,Very Positive,115973,"Racing,Automobile,Sim,Simulation,Driving,Multiplayer,VR,Realistic,Sports,Moddable,Open,World,Controller,Singleplayer,Physics,First-Person,Replay,Value,Indie,Action,3D,Vision,TrackIR,Artificial,Intelligence"
Adventure Games,"24 May, 2017",BrainStrainStudios,P-Walker's Simulation,win,None,Mixed,14,"Early,Access,Simulation,Action,Adventure,Indie,Violent,Nudity,Racing"
Adventure Games/Pine Studio Franchise,"19 Oct, 2021",Pine Studio,Escape Simulator,"win,mac,linux","1579,50 руб.",Very Positive,14572,"Puzzle,Co-op,Multiplayer,Escape,Room,First-Person,Adventure,Online,Co-Op,Mystery,Controller,Singleplayer,Family,Friendly,Casual,Simulation,Indie,VR,Story,Rich,Investigation,Point,&,Click,Exploration,Level,Editor"
Simulation Games,"18 Sep, 2012",VIS-Games,Firefighters - The Simulation,win,"422,40 руб.",Mixed,71,"Simulation,Action"
Simulation Games,"6 Oct, 2021",Gaming-Apps.com,Water Physics Simulation,win,None,Very Positive,76,"Simulation,Sandbox,Physics,Destruction,Building,Automobile,Sim,God,Game,2D,Relaxing,Indie,Casual,Minimalist,Singleplayer,Cartoon"
Simulation Games,"25 Apr, 2022",Soner ÇakırIottech Bilişim Danışmanlık Limited Şirketi,Ambulance Emergency Simulation,win,560 руб.,Positive,11,"Simulation,Casual,Platformer,Life,Sim,Automobile,Sim,Medical,Sim,3D,Driving,Nature,Logic,Modern,Indie,Transportation,Open,World,Singleplayer,First-Person"
Racing Games,"14 Jul, 2017",PiBoSo,Kart Racing Pro,win,None,Very Positive,703,"Racing,Simulation,Sports,Automobile,Sim,VR,Multiplayer"
Indie Games,"26 Feb, 2016",ConcernedApe,Stardew Valley,"win,mac,linux",None,Overwhelmingly Positive,749522,"Farming,Sim,Pixel,Graphics,Multiplayer,Life,Sim,RPG,Relaxing,Agriculture,Simulation,Crafting,Sandbox,Indie,Building,Casual,Singleplayer,Open,World,2D,Cute,Dating,Sim,Great,Soundtrack,Fishing"
Racing Games/Wired Productions Franchise,"6 Nov, 2018",Caged Element Inc.,GRIP: Combat Racing,win,"703,95 руб.",Very Positive,3360,"Racing,Action,Indie,Automobile,Sim,Futuristic,Combat,Racing,Multiplayer,Fast-Paced,Split,Screen,Local,Multiplayer,Driving,Arcade,Sci-fi,Great,Soundtrack,Vehicular,Combat,Singleplayer,VR,Shooter,Combat,Classic"
Action Games/New Blood Interactive Franchise,"3 Sep, 2020","Arsi ""Hakita"" Patala",ULTRAKILL,win,"1704,25 руб.",Overwhelmingly Positive,145404,"Boomer,Shooter,Fast-Paced,FPS,Blood,Character,Action,Game,Arena,Shooter,Spectacle,fighter,Retro,Singleplayer,Shooter,Difficult,Great,Soundtrack,First-Person,Action,Score,Attack,Colorful,Robots,Old,School,Cyberpunk,Early,Access"
RPG Games/Owlcat Games Ltd. Franchise,"2 Sep, 2021",Owlcat Games,Pathfinder: Wrath of the Righteous - Enhanced Edition,"win,mac",239 руб.,Very Positive,29428,"Adventure,Turn-Based,Combat,Singleplayer,Romance,Isometric,Strategy,Tactical,Action,Tactical,RPG,Female,Protagonist,Party-Based,RPG,Turn-Based,Strategy,Class-Based,RPG,Magic,Fantasy,Story,Rich,Character,Customization,CRPG,Choices,Matter"
Early Access Games,"8 Nov, 2013",The Indie Stone,Project Zomboid,"win,mac,linux",1564 руб.,Very Positive,282086,"Survival,Zombies,Open,World,Multiplayer,Open,World,Survival,Craft,Sandbox,Post-apocalyptic,Co-op,Crafting,Building,Indie,Simulation,RPG,Survival,Horror,Realistic,Isometric,Singleplayer,2D,Adventure,Early,Access"
Racing Games,"30 Nov, 2022",GOATi Entertainment,22 Racing Series | RTS-Racing,win,None,Mixed,12,"Early,Access,Racing,Automobile,Sim,Fast-Paced,Multiplayer,Futuristic,Competitive,Co-op,Online,Co-Op,Sports,Strategy,Driving,Physics,Simulation,VR,Sci-fi,Colorful,Time,Attack,Local,Multiplayer,Split,Screen"
Casual Games,Coming soon,1ming益铭,BabyRace,win,None,,,"Cute,Funny,Casual,Party,Game,Shooter,Battle,Royale,Runner,PvP,Co-op,Online,Co-Op,Racing,Multiplayer,Early,Access,Indie"
Racing Games,"27 May, 2021","Boundless Dynamics, LLC",Jetborne Racing,win,None,Very Positive,454,"Racing,Simulation,Flight,VR,Multiplayer,Futuristic,Immersive,Sim,Physics,Indie,Singleplayer"
Simulation Games/Factorio/Downloadable Content,"21 Oct, 2024",Wube Software LTD.,Factorio: Space Age,"win,mac,linux",None,Very Positive,5221,"Automation,Base,Building,Resource,Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open,World,Building,Co-op,Simulation,2D,Moddable,Indie,Singleplayer,Trains,Pixel,Graphics,City,Builder"
Racing Games/Nacon Games Franchise,"19 Aug, 2021",Nacon Studio Milan,RiMS Racing,win,219 руб.,Mixed,310,"Racing,First-Person,Driving,Multiplayer,Singleplayer,Action,Simulation,Automobile,Sim,Sports,Realistic,Third,Person,Atmospheric,Physics,Motorbike,Character,Customization,Local,Multiplayer,3D,PvP,Inventory,Management,Bikes"
Racing Games/Assetto Corsa Official Franchise,"29 May, 2019",Kunos Simulazioni,Assetto Corsa Competizione,win,479 руб.,Very Positive,25981,"Racing,Automobile,Sim,Simulation,VR,Multiplayer,Driving,Realistic,Sports,Controller,Singleplayer,Open,World,eSports,Online,Co-Op,Competitive,First-Person,Early,Access,Atmospheric,Moddable,Difficult,PvP"
Action Games/Snail Games USA Franchise,"27 Aug, 2017",Studio WildcardInstinct GamesEfecto StudiosVirtual Basement LLC,ARK: Survival Evolved,"win,mac",1309 руб.,Very Positive,545988,"Open,World,Survival,Craft,Survival,Multiplayer,Open,World,Dinosaurs,Crafting,Building,Adventure,Base,Building,Co-op,Action,Sandbox,First-Person,Massively,Multiplayer,Singleplayer,Early,Access,RPG,Dragons,Sci-fi,Indie"
Racing Games/Curve Games Franchise,"10 Sep, 2020",Sumo Digital LtdLucky Mountain Games,Hotshot Racing,win,87 руб.,Mostly Positive,1161,"Racing,Indie,Arcade,Multiplayer,Split,Screen,Singleplayer,Local,Multiplayer,Action,Old,School,Retro,Driving,Online,Co-Op,Local,Co-Op,Pixel,Graphics,Stylized,Abstract,1990's,PvP,Vehicular,Combat,Score,Attack"
Action Games/Keen Software House Franchise,"28 Feb, 2019",Keen Software House,Space Engineers,win,417 руб.,Very Positive,96408,"Space,Sandbox,Building,Open,World,Survival,Craft,Multiplayer,Survival,Simulation,Open,World,Physics,Crafting,Destruction,Co-op,Futuristic,Sci-fi,Indie,Singleplayer,Action,Strategy,Adventure,Early,Access"
Racing Games/Dai Yong Xiang【alex94i60】 Franchise,"28 Feb, 2024",戴永翔(Dai Yong Xiang),LOLI RACING,win,374 руб.,Positive,13,"Racing,JRPG,Combat,Racing,Anime,PvP,PvE,Co-op,Indie,Singleplayer,Casual,Multiplayer,RPG,Online,Co-Op"
Racing Games/SC Jogos Franchise,"11 Sep, 2020",SC Jogos,Barro Racing,win,21 руб.,Very Positive,978,"Indie,Racing,Sports,Multiplayer,PvP,Arcade,Driving,Automobile,Sim,Immersive,Sim,Simulation,Time,Attack,Local,Multiplayer,Singleplayer,Split,Screen,Casual,4,Player,Local,Sequel,3D,Retro,Trading,Card,Game"
Racing Games,"17 Nov, 2017","CarX Technologies, LLC",CarX Drift Racing Online,win,"1251,75 руб.",Overwhelmingly Positive,76881,"Racing,Driving,Automobile,Sim,Multiplayer,Simulation,Sports,Open,World,Massively,Multiplayer,Controller,VR,Singleplayer,Arcade,Realistic,Local,Multiplayer,Co-op,Mod,Games,Workshop,Casual,Action,Early,Access"
Racing Games/Assetto Corsa Official Franchise,"19 Dec, 2014",Kunos Simulazioni,Assetto Corsa,win,177 руб.,Very Positive,115973,"Racing,Automobile,Sim,Simulation,Driving,Multiplayer,VR,Realistic,Sports,Moddable,Open,World,Controller,Singleplayer,Physics,First-Person,Replay,Value,Indie,Action,3D,Vision,TrackIR,Artificial,Intelligence"
Racing Games,"12 Jan, 2015",iRacing.com Motorsport SimulationsiRacing,iRacing,win,None,Very Positive,3381,"Racing,Automobile,Sim,Simulation,VR,Sports,Driving,Multiplayer,Massively,Multiplayer,Realistic,Singleplayer,Controller,eSports,First-Person,Action"
Indie Games/CRITICAL REFLEX Franchise,"4 Apr, 2024",Mike Klubnika,Buckshot Roulette,"win,linux","583,20 руб.",Overwhelmingly Positive,82064,"Multiplayer,Dark,Gambling,Horror,First-Person,Strategy,Singleplayer,Indie,3D,Psychological,Puzzle,Blood,Psychological,Horror,Experimental,Action,Roguelike,Simulation,Surreal,FPS,Roguelite"
Simulation Games,Q4 2025,Straight4 Studios,Project Motor Racing,win,None,,,"Simulation,Immersive,Sim,Racing,First-Person,Realistic,Driving,Moddable,Automobile,Sim,Physics,Multiplayer,Singleplayer,VR,Third,Person,Psychological,Horror"
Action Games/PikPok Franchise,"9 Apr, 2025",PikPok,Into the Dead: Our Darkest Days,"win,mac",None,Very Positive,3403,"Early,Access,Survival,Zombies,Horror,Strategy,Side,Scroller,Immersive,Sim,2.5D,Survival,Horror,Atmospheric,Stealth,Action,Management,Crafting,Post-apocalyptic,Choices,Matter,Perma,Death,Psychological,Horror,Simulation,Psychological"
Strategy Games,"22 May, 2020",Iron Boar Labs Ltd.,High Strategy: Urukon,win,None,Very Positive,98,"Indie,Strategy,Grand,Strategy,Resource,Management,2D,Sci-fi,Turn-Based,Strategy,Turn-Based,War,Experimental,Singleplayer,Top-Down,PvE,Hand-drawn,Post-apocalyptic"
Simulation Games/Factorio/Downloadable Content,"21 Oct, 2024",Wube Software LTD.,Factorio: Space Age,"win,mac,linux",None,Very Positive,5221,"Automation,Base,Building,Resource,Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open,World,Building,Co-op,Simulation,2D,Moddable,Indie,Singleplayer,Trains,Pixel,Graphics,City,Builder"
Simulation Games,"2 Feb, 2021",Ian Young,Trickery&Strategy,win,None,Positive,10,"Strategy,Turn-Based,Strategy,Wargame,2.5D,3D,Historical,Hex,Grid,Indie,Singleplayer,Simulation,Massively,Multiplayer"
Strategy Games,To be announced,Tensssion Games,Masked Strategy,"win,mac,linux",None,,,"Dark,Strategy,Singleplayer,Turn-Based,Strategy,Difficult,Indie,Psychological,Robots,Puzzle,Atmospheric,Choices,Matter,Point,&,Click,2D"
Adventure Games,"14 Feb, 2001",GameXP.com,Parkan: Iron Strategy,win,None,Positive,28,"Action,Simulation,Mechs,Strategy,RPG,RTS,Exploration,FPS,CRPG,3D,First-Person,Sci-fi,Robots,1990's,Atmospheric,Futuristic,Old,School,Combat,Story,Rich,PvE"
Early Access Games,Q3 2025,Kevin Smith,Exit Strategy,win,None,,,"Early,Access,Casual,Strategy,Sandbox,Puzzle,Level,Editor,Comedy,Stealth,Exploration,Realistic,Third,Person,Escape,Room,Family,Friendly,Funny,Modern,Relaxing,Satire,Character,Customization,Controller,Physics"
Strategy Games/Talberon Games Franchise,2025,Talberon Games,Superstar Strategy,"win,linux",None,,,"Tactical,RPG,Turn-Based,Tactics,PvP,Strategy,RPG,Turn-Based,Strategy,JRPG,Tactical,Strategy,Retro,RPG,Pixel,Graphics,War,Fantasy,Grid-Based,Movement,2D,Turn-Based,Combat,Anime,Colorful,Swordplay,Cute"
Action Games,"28 Sep, 2022",Siege Camp,Foxhole,win,737 руб.,Very Positive,38804,"Massively,Multiplayer,Wargame,Military,Base,Building,Open,World,Sandbox,World,War,II,War,Top-Down,Tactical,PvP,Strategy,Top-Down,Shooter,Team-Based,Multiplayer,Co-op,Crafting,Shooter,Action,RPG"
Strategy Games,"31 Aug, 2018",Starni Games,Panzer Strategy,win,None,Mixed,432,"Board,Game,Turn-Based,Tactics,Education,Turn-Based,Difficult,Turn-Based,Strategy,Strategy,Historical,Tanks,Turn-Based,Combat,Realistic,Military,Tactical,World,War,II,Hex,Grid,War,Singleplayer,Indie,Replay,Value,Early,Access"
Simulation Games,"5 Jun, 2020",Pavel Kudinov,Space Simulation Toolkit,win,497 руб.,Mostly Positive,343,"Simulation,Early,Access,Indie,Physics,Sandbox,Free,to,Play,Artificial,Intelligence,2D,Space,Space,Sim,Education,2D,Platformer,Exploration,Roguelite,1980s,1990's,Singleplayer,Building"
Simulation Games,"12 Nov, 2024",Giants Software,Farming Simulator 25,"win,mac",1560 руб.,Very Positive,20734,"Simulation,Farming,Sim,Realistic,3D,Immersive,Sim,First-Person,Time,Management,Economy,Multiplayer,Third,Person,Building,Management,Atmospheric,Nature,Relaxing,Online,Co-Op,Farming,Physics,Singleplayer,Moddable"
Adventure Games,Coming soon,Meys Gaming,Gassal Simulation,win,None,,,"Early,Access,Simulation,Multiplayer,Singleplayer,Tutorial,Casual,FPS,Driving,Education,Physics,Life,Sim,Open,World,Action-Adventure,3D,Match,3,First-Person,Family,Friendly,Exploration,Action,Detective"
Adventure Games,"25 May, 2021",007berd,Simulation world,win,None,Positive,28,"Adventure,Puzzle,Story,Rich,Puzzle,Platformer,Point,&,Click,Platformer,2D,Platformer,Side,Scroller,2D,Cute,Pixel,Graphics,Stylized,Hand-drawn,Open,World,Logic,Sci-fi,Singleplayer,Casual,Nonlinear,Multiple,Endings"
Adventure Games,To be announced,Playmestudio,The Simulation,win,None,,,"Adventure,Horror,Mystery,Puzzle,Exploration,Game,Development,3D,First-Person,VR,Surreal,Linear,Story,Rich,Realistic,Sci-fi,Thriller,Investigation,Psychological,Dark,Singleplayer"
Indie Games/ProjectMoon_Official Franchise,"9 Apr, 2018",ProjectMoon,Lobotomy Corporation | Monster Management Simulation,win,None,Very Positive,39808,"Management,Difficult,Story,Rich,Psychological,Horror,Simulation,Horror,Gore,Great,Soundtrack,Singleplayer,Indie,Strategy,2D,Cute,Lovecraftian,Anime,Atmospheric,RTS,Roguelike,Roguelite,Visual,Novel"
Adventure Games/Pine Studio Franchise,To be announced,Pine Studio,Escape Simulator 2,"win,mac,linux",None,,,"Escape,Room,First-Person,Online,Co-Op,Puzzle,Simulation,Mystery,Multiplayer,Adventure,Co-op,Point,&,Click,Exploration,Singleplayer,3D,Realistic,Atmospheric,Family,Friendly,Logic,Character,Customization,Level,Editor,Co-op,Campaign"
Simulation Games/SCS Software Franchise,"18 Oct, 2012",SCS Software,Euro Truck Simulator 2,"win,mac,linux",2972 руб.,Overwhelmingly Positive,653057,"Driving,Transportation,Simulation,Open,World,Automobile,Sim,Realistic,Moddable,Relaxing,Exploration,Economy,Immersive,Sim,Management,Atmospheric,Multiplayer,Controller,Family,Friendly,Third,Person,Adventure,Casual,Indie"
Simulation Games,"17 Oct, 2018",Ludeon Studios,RimWorld,"win,mac,linux","1899,05 руб.",Overwhelmingly Positive,176705,"Colony,Sim,Base,Building,Survival,Strategy,Sandbox,Management,Building,Simulation,Singleplayer,Moddable,City,Builder,Open,World,Procedural,Generation,2D,Sci-fi,Indie,Space,Tactical,RPG,Cartoony,Western"
Simulation Games/eCho Software Franchise,"10 Nov, 2024",eCho Software,Simulation,"win,mac,linux",None,Positive,10,"Simulation,Time,Management,Interactive,Fiction,Sci-fi,Dystopian,Utilities,Point,&,Click,2D,Top-Down,Nonlinear,Indie,Pixel,Graphics,1980s,Farming,Sim,Singleplayer,RTS,Automation"
Strategy Games/Saber Interactive Franchise,"21 Apr, 2025",Slipgate Ironworks™,Tempest Rising,win,None,Very Positive,4890,"RTS,Strategy,Base,Building,Singleplayer,Multiplayer,Isometric,3D,Real-Time,War,Action,PvP,Action,RTS,Great,Soundtrack,Military,Wargame,Futuristic,FMV,Cinematic,Top-Down,Modern"
Strategy Games,"5 May, 2022",LUXO Interactive,SCP Strategy,win,"897,60 руб.",Very Positive,508,"Strategy,Simulation,Management,Experimental,Open,World,Sandbox,Choose,Your,Own,Adventure,Colony,Sim,Investigation,Time,Management,3D,Isometric,Top-Down,Alternate,History,Dark,Fantasy,Detective,Illuminati,Science,Base,Building,Choices,Matter"
Action Games/Hunt: Showdown Official Franchise,"27 Aug, 2019",Crytek,Hunt: Showdown 1896,win,609 руб.,Mostly Positive,191759,"Open,World,Extraction,Shooter,Multiplayer,Atmospheric,Tactical,FPS,Perma,Death,Western,Shooter,PvP,Horror,Online,Co-Op,Survival,Horror,Co-op,Difficult,Battle,Royale,Team-Based,Action,Gore,Zombies"
Strategy Games,"9 Oct, 2022",GC Studio,Strategy,win,None,Mixed,20,"Turn-Based,Strategy,Strategy,Card,Game,Roguelike,Horror,3D,Story,Rich,Singleplayer,Roguelite,Artificial,Intelligence,Drama,Futuristic,Multiplayer,Early,Access"
Simulation Games,"14 Aug, 2020",Wube Software LTD.,Factorio,"win,mac,linux",None,Overwhelmingly Positive,170072,"Automation,Base,Building,Resource,Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open,World,Building,Co-op,2D,Moddable,Singleplayer,Trains,Simulation,Pixel,Graphics,City,Builder,Indie"
Strategy Games/Hearts of Iron - Official Franchise,"6 Jun, 2016",Paradox Development Studio,Hearts of Iron IV,"win,mac,linux",830 руб.,Very Positive,235122,"Strategy,World,War,II,Grand,Strategy,War,Historical,Military,Alternate,History,Multiplayer,Simulation,Tactical,Singleplayer,Real-Time,with,Pause,RTS,Diplomacy,Sandbox,Co-op,Strategy,RPG,Open,World,Competitive,Action"
Action Games,"22 Dec, 2014",RobTop Games,Geometry Dash,"win,mac",None,Very Positive,383366,"Difficult,Music,Level,Editor,Great,Soundtrack,Precision,Platformer,2D,Rhythm,Singleplayer,Colorful,Platformer,Character,Customization,Indie,Arcade,Side,Scroller,Family,Friendly,Action,Funny,Casual,Strategy,Adventure"
Simulation Games,"21 Apr, 2022",Tuxedo Labs,Teardown,win,699 руб.,Overwhelmingly Positive,101034,"Destruction,Physics,Sandbox,Voxel,First-Person,Singleplayer,Open,World,Heist,Realistic,3D,Simulation,Action,Puzzle,Driving,Indie,Replay,Value,Tactical,Immersive,Sim,Multiplayer,Puzzle,Platformer"
Indie Games/Curve Games Franchise,"23 Apr, 2015",Daniel LinssenDetectiveDittoGlitchnapShark Jump Studios,The Indie Mixtape,win,24 руб.,Positive,36,"Indie,Adventure,RPG,Action,Pixel,Graphics,Roguelike"
Indie Games,"16 May, 2011",Re-Logic,Terraria,"win,mac,linux",None,Overwhelmingly Positive,1116047,"Open,World,Survival,Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel,Graphics,Crafting,Building,Exploration,Co-op,Open,World,Online,Co-Op,Indie,Action,RPG,Singleplayer,Replay,Value,Platformer,Atmospheric"
Indie Games/Tricky Towers/Downloadable Content,"18 Jul, 2017",WeirdBeard,Indie Friends Pack,"win,mac,linux",None,Positive,43,"Indie,Casual"
Indie Games,Coming soon,Xio-Fret Games,Indie Nights,win,None,,,"Action,Arcade,3D,First-Person,Third,Person,Horror,Survival,Survival,Horror,PvP,Indie,Early,Access,Co-op,Multiplayer,Online,Co-Op"
Utilities,"16 Nov, 2018",Wallpaper Engine Team,Wallpaper Engine,win,None,Overwhelmingly Positive,822626,"Mature,Utilities,Anime,Software,Design,&,Illustration,Animation,&,Modeling,First-Person,NSFW,Indie,Memes,Cute,Action,Singleplayer,Funny,Early,Access,Photo,Editing,Sandbox,Horror,Gaming,Game,Development"
Simulation Games,"29 May, 2015",BeamNG,BeamNG.drive,win,None,Overwhelmingly Positive,292889,"Simulation,Driving,Physics,Destruction,Realistic,Automobile,Sim,Sandbox,Open,World,Racing,Moddable,Multiplayer,Singleplayer,Early,Access,First-Person,Third,Person,Funny,Exploration,Adventure,Action,Flight"
Action Games,"13 Dec, 2023",VOID Interactive,Ready or Not,win,"2597,40 руб.",Very Positive,182671,"Tactical,Realistic,FPS,Shooter,Multiplayer,Singleplayer,Co-op,Horror,First-Person,Action,Violent,Combat,Gun,Customization,Crime,Gore,Modern,Psychological,Horror,Atmospheric,America,Co-op,Campaign"
RPG Games,"19 Dec, 2018",AtomTeam,ATOM RPG: Post-apocalyptic indie game,"win,mac,linux",873 руб.,Very Positive,9407,"CRPG,Exploration,Survival,Turn-Based,RPG,Post-apocalyptic,Puzzle,Sandbox,Isometric,Strategy,Alternate,History,Open,World,Turn-Based,Combat,Story,Rich,Simulation,Tactical,Atmospheric,Singleplayer,Mystery,Indie"
Action Games,"10 Jun, 2025",Funcom,Dune: Awakening,win,None,,,"Third,Person,Open,World,Survival,Craft,Massively,Multiplayer,Survival,Adventure,Sci-fi,Open,World,Base,Building,Exploration,PvP,PvE,Building,Sandbox,Character,Customization,Multiplayer,Action,Crafting,Online,Co-Op,RPG,Lore-Rich"
Action Games/Coffee Stain Franchise,"2 Feb, 2021",Iron Gate AB,Valheim,"win,mac,linux","1798,20 руб.",Very Positive,422997,"Open,World,Survival,Craft,Survival,Online,Co-Op,Open,World,Multiplayer,Building,Crafting,Base,Building,Exploration,Co-op,Adventure,Difficult,Mythology,Sandbox,Third,Person,PvE,Singleplayer,Action,Early,Access,Indie"
Indie Games,"10 Jul, 2018",Lowe Bros. Studios LLC,Indie Pogo,win,None,Very Positive,244,"Indie,Action,Fighting,Pixel,Graphics,2D,Multiplayer,Platformer,Singleplayer,Crowdfunded,Great,Soundtrack,Local,Multiplayer,2D,Fighter"
Adventure Games,"15 Nov, 2023",半瓶醋工作室（Half Amateur Studio）,Hero's Adventure: Road to Passion,win,552 руб.,Very Positive,20004,"RPG,Martial,Arts,Open,World,Multiple,Endings,Strategy,Pixel,Graphics,Indie,Adventure,Singleplayer,Turn-Based,Strategy,Turn-Based,Choose,Your,Own,Adventure,Simulation,Stealth,2D,Drama,Sexual,Content,Anime,RPGMaker,Mature"
Action Games,"13 Dec, 2018",Bohemia Interactive,DayZ,win,"4719,60 руб.",Mostly Positive,354167,"Survival,Open,World,Online,Co-Op,Zombies,Multiplayer,Post-apocalyptic,Shooter,PvP,Massively,Multiplayer,Action,FPS,Horror,Sandbox,Co-op,Adventure,Survival,Horror,First-Person,Simulation,Atmospheric,Choose,Your,Own,Adventure"
Adventure Games/Axolot Games Franchise,"20 Jun, 2022",Redbeet Interactive,Raft,win,None,Very Positive,293458,"Survival,Multiplayer,Open,World,Survival,Craft,Co-op,Crafting,Open,World,Building,Base,Building,Online,Co-Op,Adventure,Sandbox,First-Person,Singleplayer,Underwater,Simulation,Early,Access,Action,Indie,Strategy,Massively,Multiplayer"
Action Games/Warhammer Franchise,"9 Sep, 2024",Saber Interactive,"Warhammer 40,000: Space Marine 2",win,None,Very Positive,116772,"Warhammer,40K,Action,Third-Person,Shooter,Multiplayer,Co-op,PvE,Adventure,Action-Adventure,Third,Person,Sci-fi,Wargame,3D,War,Fantasy,Space,Narration,Singleplayer,Realistic,Cinematic,Futuristic"
Action Games,"22 Feb, 2024",Endnight Games Ltd,Sons Of The Forest,win,None,Very Positive,223304,"Survival,Open,World,Multiplayer,Co-op,Survival,Horror,Base,Building,Horror,Crafting,First-Person,Building,Exploration,Adventure,Singleplayer,Atmospheric,Sandbox,Action-Adventure,Action,Simulation,Immersive,Sim,Early,Access"
